Date,"Staff Name",Role,Checklist,"Total Items",Completed,"Completion %",Status,"Submitted At"
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,3,0,0%,Pending,—
"21 Feb 2026",—,—,—,3,0,0%,Pending,—
"21 Feb 2026",—,—,—,5,0,0%,Pending,—
"21 Feb 2026",—,—,—,5,0,0%,Pending,—
"21 Feb 2026",—,—,—,5,0,0%,Pending,—
"21 Feb 2026",—,—,—,3,0,0%,Pending,—
"21 Feb 2026",—,—,—,3,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"21 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,3,0,0%,Pending,—
"22 Feb 2026",—,—,—,3,0,0%,Pending,—
"22 Feb 2026",—,—,—,5,0,0%,Pending,—
"22 Feb 2026",—,—,—,5,0,0%,Pending,—
"22 Feb 2026",—,—,—,5,0,0%,Pending,—
"22 Feb 2026",—,—,—,3,0,0%,Pending,—
"22 Feb 2026",—,—,—,3,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
"22 Feb 2026",—,—,—,2,0,0%,Pending,—
